Province,GDP per capita,CCAA
Almería,20.873,Andalucía y Extremadura
Cádiz,18.029,Andalucía y Extremadura
Córdoba,17.292,Andalucía y Extremadura
Granada,17.167,Andalucía y Extremadura
Huelva,18.207,Andalucía y Extremadura
Jaén,16.433,Andalucía y Extremadura
Málaga,18.193,Andalucía y Extremadura
Sevilla,19.689,Andalucía y Extremadura
Huesca,25.639,Aragon
Teruel,24.702,Aragon
Zaragoza,26.082,Aragon
Asturias,21.634,Asturias y Cantabria
Las Palmas,20.79,Canarias
Santa Cruz de Tenerife,21.333,Canarias
Cantabria,22.39,Asturias y Cantabria
Ávila,18.382,Castilla y León
Burgos,25.994,Castilla y León
Guadalajara,19.857,Castilla y León
León,20.172,Castilla y León
Palencia,24.246,Castilla y León
Salamanca,19.201,Castilla y León
Segovia,22.996,Castilla y León
Soria,22.992,Castilla y León
Valladolid,23.947,Castilla y León
Zamora,17.952,Castilla y León
Albacete,17.864,Castilla-La Mancha
Ciudad Real,19.525,Castilla-La Mancha
Cuenca,19.57,Castilla-La Mancha
Toledo,19.251,Castilla-La Mancha
Barcelona,28.069,Cataluña y Islas Baleares
Gerona,28.04,Cataluña y Islas Baleares
Lérida,27.828,Cataluña y Islas Baleares
Tarragona,27.408,Cataluña y Islas Baleares
Alicante,19.201,Comunitat Valenciana y Murcia
Castellón,23.832,Comunitat Valenciana y Murcia
Valencia,22.538,Comunitat Valenciana y Murcia
Badajoz,16.238,Andalucía y Extremadura
Cáceres,16.076,Andalucía y Extremadura
La Coruña,21.305,Galicia
Lugo,19.587,Galicia
Ourense,18.009,Galicia
Pontevedra,20.542,Galicia
Islas Baleares,25.811,Cataluña y Islas Baleares
La Rioja,25.438,País Vasco Navarra y Rioja
Madrid,31.49,Madrid
Murcia,19.92,Comunitat Valenciana y Murcia
Navarra,29.136,País Vasco Navarra y Rioja
Álava,36.055,País Vasco Navarra y Rioja
Guipúzcoa,30.731,País Vasco Navarra y Rioja
Vizcaya,27.705,País Vasco Navarra y Rioja
