Province,HDI
Cádiz,0.913
Almería,0.915
Jaén,0.915
Huelva,0.917
Badajoz,0.919
Córdoba,0.92
Málaga,0.92
Granada,0.921
Ciudad Real,0.923
Cáceres,0.924
Alicante,0.93
Murcia,0.93
Santa Cruz de Tenerife,0.931
Albacete,0.933
Las Palmas,0.933
Toledo,0.933
Sevilla,0.934
Ourense,0.936
Cuenca,0.937
Islas Baleares,0.937
Castellón,0.941
Lugo,0.943
Pontevedra,0.945
Valencia,0.946
Tarragona,0.949
Gerona,0.951
Ávila,0.952
León,0.955
Asturias,0.956
Soria,0.957
Guadalajara,0.958
Lérida,0.958
La Coruña,0.959
Zamora,0.959
Segovia,0.96
Teruel,0.96
Huesca,0.961
Barcelona,0.962
La Rioja,0.962
Cantabria,0.963
Palencia,0.964
Zaragoza,0.968
Burgos,0.972
Salamanca,0.975
Valladolid,0.978
Navarra,0.982
Madrid,0.983
Vizcaya,0.988
Álava,0.99
Guipúzcoa,0.997
